# 세계사 Ⅰ단원(01~14차시) 복습 게임 문제 은행
# 형식:  주제 | 문제(빈칸 ____) | 정답(여러 개는 /)
# 관리자 화면 ② 문제 추가에서 .xlsx 업로드로 등록 (이 txt는 버전 관리·백업용)


01. 문명의 형성 | 약 20~30만 년 전 아프리카에서 등장하여 세계 각지로 퍼져 나간 현생 인류를 ____(이)라고 한다. | 호모 사피엔스/사피엔스
02. 메소포타미아·이집트·지중해 문명 | 철제 무기와 전차로 바빌로니아를 무너뜨리고 철기 문화를 서아시아에 퍼뜨린 민족은 ____이다. | 히타이트
02. 메소포타미아·이집트·지중해 문명 | 헤브라이인은 유일신을 믿는 ____을/를 창시하여 크리스트교와 이슬람교에 영향을 주었다. | 유대교
02. 메소포타미아·이집트·지중해 문명 | 지중해 해상 무역으로 번영하며 카르타고를 건설하고 표음 문자를 사용한 민족은 ____이다. | 페니키아

03. 인도·중국·메소아메리카 문명 | 기원전 2500년경 인더스강 유역에서 드라비다인이 세운 계획도시로 하라파와 ____이/가 있다. | 모헨조다로
03. 인도·중국·메소아메리카 문명 | 기원전 1500년경 북인도로 이동한 아리아인은 원주민 지배를 위해 ____(이)라는 신분 제도를 만들었다. | 카스트제
03. 인도·중국·메소아메리카 문명 | 아리아인은 자연신을 숭배하고 《베다》를 경전으로 삼는 ____을/를 성립시켰다. | 브라만교
03. 인도·중국·메소아메리카 문명 | 중국 상 왕조에서 점친 내용을 거북 등껍질이나 뼈에 새긴 ____은/는 한자의 기원이 되었다. | 갑골문
03. 인도·중국·메소아메리카 문명 | 주 왕조는 왕족·공신을 제후로 삼아 지방을 다스리게 하는 ____을/를 실시하였다. | 봉건제
03. 인도·중국·메소아메리카 문명 | 주 왕조에서는 ____에 기초한 종법 제도가 발전하였다. | 혈연
03. 인도·중국·메소아메리카 문명 | 기원전 1500년경 멕시코만 연안에서 등장하여 마야 문명에 영향을 준 메소아메리카 문명은 ____이다. | 올메카 문명/올메카
03. 인도·중국·메소아메리카 문명 | 마야 문명은 수학과 천문학이 발달하여 ____의 개념을 사용하였다. | 영(0)/0/영

04. 진·한 제국 | 춘추 시대에는 춘추 5패가 주 왕실을 받든다는 ____을/를 명분으로 제후국을 통솔하였다. | 존왕양이
04. 진·한 제국 | 춘추 전국 시대에 부국강병을 위한 경쟁 속에서 유가·법가·도가·묵가 등 ____이/가 등장하였다. | 제자백가
04. 진·한 제국 | 기원전 221년 전국을 통일한 진왕 정은 스스로를 ____(이)라 칭하였다. | 시황제/진시황제/진시황
04. 진·한 제국 | 진시황제는 전국에 관리를 파견하여 다스리는 ____을/를 실시하였다. | 군현제
04. 진·한 제국 | 진시황제는 사상 통제를 위해 책을 불태우고 유생을 파묻는 ____을/를 단행하였다. | 분서갱유
04. 진·한 제국 | 진시황제는 북방 흉노족의 침입을 막기 위해 ____을/를 축조하였다. | 만리장성
04. 진·한 제국 | 한 고조 유방은 봉건제와 군현제를 절충한 ____을/를 실시하였다. | 군국제
04. 진·한 제국 | 한 무제는 동중서의 건의를 받아들여 ____을/를 설치하고 태학을 세워 유교를 중시하였다. | 오경박사
04. 진·한 제국 | 한 무제는 ____ 정벌, 고조선 멸망, 장건의 서역 파견 등 활발한 대외 원정을 벌였다. | 흉노

05. 수·당 제국 | 북위의 ____은/는 뤄양으로 천도하고 선비족의 언어·복장을 금지하는 한화 정책을 폈다. | 효문제
05. 수·당 제국 | 위진 남북조 시대에는 추천으로 관리를 뽑는 ____이/가 실시되어 문벌 사회가 형성되었다. | 9품중정제/구품중정제
05. 수·당 제국 | 북위 효문제 때 처음 시행되어 농민에게 국가가 토지를 지급한 토지 제도는 ____이다. | 균전제
05. 수·당 제국 | 수 문제는 9품중정제를 폐지하고 시험으로 인재를 뽑는 ____을/를 실시하였다. | 과거제
05. 수·당 제국 | 수 양제는 화북과 강남을 잇는 ____을/를 완성하였다. | 대운하
05. 수·당 제국 | 당 태종이 동돌궐을 정복하고 율령 체제를 정비한 전성기를 ____(이)라 부른다. | 정관의 치
05. 수·당 제국 | 8세기에 절도사 안녹산과 사사명이 일으켜 당을 크게 쇠퇴시킨 반란은 ____이다. | 안사의 난
05. 수·당 제국 | 균전제가 붕괴하자 당은 토지와 자산을 기준으로 세금을 걷는 ____을/를 실시하였다. | 양세법
05. 수·당 제국 | 동아시아 문화권의 공통 요소로 유교·불교·한자와 함께 법과 제도를 뜻하는 ____이/가 있다. | 율령

06. 일본 고대 국가 | 기원전 3세기경 일본 열도에서 청동기와 철기를 사용하며 시작된 시대는 ____ 시대이다. | 야요이
06. 일본 고대 국가 | 6세기 초 중국·한반도의 선진 문화를 수용하고 불교를 장려한 인물은 ____이다. | 쇼토쿠 태자
06. 일본 고대 국가 | 쇼토쿠 태자 시기에 불교문화를 바탕으로 발달한 일본 최초의 불교문화는 ____이다. | 아스카 문화
06. 일본 고대 국가 | 645년 군주 중심의 중앙 집권 체제를 지향하며 일어난 정치 개혁은 ____이다. | 다이카 개신
06. 일본 고대 국가 | 710년 당의 장안을 본떠 조성한 ____(으)로 천도하면서 나라 시대가 시작되었다. | 헤이조쿄
06. 일본 고대 국가 | 나라 시대에 편찬된 일본의 고대 신화·역사서로 《고사기》와 ____이/가 있다. | 일본서기/《일본서기》
06. 일본 고대 국가 | 794년 귀족 세력을 견제하기 위해 ____(으)로 천도하면서 헤이안 시대가 시작되었다. | 헤이안쿄
06. 일본 고대 국가 | 헤이안 시대에 견당사 파견 중지를 계기로 가나 문자가 성립하는 등 ____이/가 발달하였다. | 국풍 문화

07. 불교의 성립과 인도 통일 제국 | 바르다마나(마하비라)가 창시하여 엄격한 계율과 고행을 통한 해탈을 추구한 종교는 ____이다. | 자이나교
07. 불교의 성립과 인도 통일 제국 | 고타마 싯다르타가 창시하여 인간의 평등과 윤리적 실천을 통한 해탈을 강조한 종교는 ____이다. | 불교
07. 불교의 성립과 인도 통일 제국 | 알렉산드로스의 침입 이후 찬드라굽타가 세워 북인도를 통일한 왕조는 ____이다. | 마우리아 왕조
07. 불교의 성립과 인도 통일 제국 | 마우리아 왕조의 전성기를 이끈 ____은/는 스투파를 세우고 불교를 장려하였다. | 아소카왕/아소카 왕
07. 불교의 성립과 인도 통일 제국 | 아소카왕 때에는 개인의 해탈을 강조하는 ____ 불교가 발달하였다. | 상좌부
07. 불교의 성립과 인도 통일 제국 | 쿠샨 왕조의 카니슈카왕 때에는 중생의 구제를 목표로 부처를 신격화한 ____ 불교가 발달하였다. | 대승
07. 불교의 성립과 인도 통일 제국 | 헬레니즘 문화와 인도 문화가 융합되어 인도 서북부에서 발달한 불교 미술은 ____이다. | 간다라 미술/간다라 양식
07. 불교의 성립과 인도 통일 제국 | 쿠샨 왕조는 중국·인도·서아시아를 잇는 교역로를 장악하여 ____ 무역으로 번영하였다. | 중계

08. 굽타 왕조 | 4세기 초 ____이/가 굽타 왕조를 세워 혼란한 북인도를 다시 통일하였다. | 찬드라굽타 1세
08. 굽타 왕조 | 굽타 왕조의 전성기를 이끌어 영토를 최대로 넓힌 왕은 ____이다. | 찬드라굽타 2세
08. 굽타 왕조 | 굽타 왕조 시기 브라만교를 바탕으로 민간 신앙과 불교 등이 융합되어 성립한 종교는 ____이다. | 힌두교
08. 굽타 왕조 | 굽타 왕조의 왕들은 권위를 높이기 위해 스스로를 유지의 신 ____에 비유하였다. | 비슈누
08. 굽타 왕조 | 힌두교 사회에서 각종 의례·관습·법을 기록하여 일상생활에 큰 영향을 준 것은 ____이다. | 마누 법전
08. 굽타 왕조 | 굽타 왕조 시기 브라만이 쓰던 ____이/가 공용어가 되어 문학이 발달하였다. | 산스크리트어
08. 굽타 왕조 | 굽타 왕조 시기 간다라 양식과 인도 고유 특색이 융합된 미술 양식은 ____이다. | 굽타 양식
08. 굽타 왕조 | 델리 술탄 왕조는 힌두교도에게 ____만 내면 종교의 자유를 허용하였다. | 지즈야/인두세/지즈야(인두세)

09. 서아시아 여러 제국 | 기원전 7세기에 철제 무기와 전차로 서아시아를 처음으로 통일한 나라는 ____이다. | 아시리아
09. 서아시아 여러 제국 | 아시리아는 수도 ____에 왕립 도서관을 세워 학문 발전을 촉진하였다. | 니네베
09. 서아시아 여러 제국 | 아케메네스 왕조 페르시아의 ____은/는 피정복민의 문화와 종교를 존중하는 관용 정책을 폈다. | 키루스 2세
09. 서아시아 여러 제국 | ____은/는 전국을 20여 개 행정 구역으로 나누어 총독을 파견하고 '왕의 길'을 건설하였다. | 다리우스 1세
09. 서아시아 여러 제국 | 아케메네스 왕조 페르시아는 ____ 전쟁에서 패배한 뒤 쇠퇴하다가 알렉산드로스에게 멸망하였다. | 그리스·페르시아/페르시아
09. 서아시아 여러 제국 | 중국과 로마 사이의 중계 무역으로 번영하다가 사산 왕조 페르시아에 멸망한 이란계 유목민 국가는 ____이다. | 파르티아
09. 서아시아 여러 제국 | 3세기 초 아케메네스 왕조 페르시아의 부흥을 내걸고 세워진 나라는 ____이다. | 사산 왕조 페르시아
09. 서아시아 여러 제국 | 페르시아인이 널리 믿었으며 유대교·크리스트교·이슬람교에 영향을 준 종교는 ____이다. | 조로아스터교

10. 그리스 세계 | 고대 그리스에서 형성된, 자급자족과 자치를 원칙으로 하는 도시 중심의 작은 국가는 ____이다. | 폴리스
10. 그리스 세계 | 폴리스에서 신전이 모인 종교 중심지를 ____, 시민이 모이는 광장을 아고라라고 한다. | 아크로폴리스
10. 그리스 세계 | 도리스인이 세운 ____은/는 소수 시민이 다수 피정복민을 지배하는 군사 국가였다. | 스파르타
10. 그리스 세계 | ____은/는 부족제를 혈연 중심에서 거주지 중심으로 개편하고 도편 추방제를 시행하였다. | 클레이스테네스
10. 그리스 세계 | 그리스·페르시아 전쟁 이후 아테네가 맹주가 되어 결성한 동맹은 ____이다. | 델로스 동맹
10. 그리스 세계 | 아테네 민주 정치의 전성기를 이끌며 공무 수당 지급과 관직 추첨제를 확대한 인물은 ____이다. | 페리클레스
10. 그리스 세계 | 아테네 중심 동맹과 스파르타 중심 동맹이 맞붙어 스파르타가 승리한 전쟁은 ____이다. | 펠로폰네소스 전쟁
10. 그리스 세계 | 알렉산드로스의 동방 원정 결과 그리스 문화와 오리엔트 문화가 융합된 ____ 문화가 발전하였다. | 헬레니즘
10. 그리스 세계 | 헬레니즘 시대의 철학으로 욕망을 억제하고 이성적인 삶을 추구한 ____ 학파가 있었다. | 스토아

11. 로마와 크리스트교 | 로마는 기원전 6세기 초 왕정을 무너뜨리고 ____을/를 시작하였으며 원로원·집정관·민회로 구성되었다. | 공화정
11. 로마와 크리스트교 | ____법의 제정으로 평민회의 결의가 원로원의 승인 없이도 법적 효력을 가지게 되었다. | 호르텐시우스
11. 로마와 크리스트교 | 로마는 카르타고와 세 차례 벌인 ____ 전쟁에서 승리하여 서부 지중해의 패권을 차지하였다. | 포에니
11. 로마와 크리스트교 | ____ 형제는 자영농 몰락을 막기 위해 농지법과 곡물법을 추진했으나 귀족의 반발로 실패하였다. | 그라쿠스
11. 로마와 크리스트교 | 1차 삼두 정치를 주도했으나 독재를 이유로 귀족에게 암살당한 인물은 ____이다. | 카이사르
11. 로마와 크리스트교 | 옥타비아누스는 원로원으로부터 ____(존엄한 자)라는 칭호를 받아 사실상 제정을 시작하였다. | 아우구스투스
11. 로마와 크리스트교 | 313년 콘스탄티누스 황제는 ____을/를 통해 크리스트교를 공인하였다. | 밀라노 칙령
11. 로마와 크리스트교 | ____ 황제는 크리스트교를 국교로 삼았으며 그의 사후 로마 제국은 동서로 분리되었다. | 테오도시우스
11. 로마와 크리스트교 | 로마법은 12표법에서 시민법을 거쳐 제국의 모든 자유인에게 적용되는 ____(으)로 발전하였다. | 만민법

12. 서유럽 봉건 사회와 비잔티움 제국 | 메로베우스 왕조를 세우고 로마 가톨릭으로 개종한 프랑크 왕국의 왕은 ____이다. | 클로비스
12. 서유럽 봉건 사회와 비잔티움 제국 | 궁재 ____은/는 732년 투르·푸아티에 전투에서 이슬람 세력을 격퇴하였다. | 카롤루스 마르텔
12. 서유럽 봉건 사회와 비잔티움 제국 | ____은/는 800년 교황에게 서로마 황제로 대관받아 교회와 왕권의 결합을 상징하였다. | 카롤루스 대제
12. 서유럽 봉건 사회와 비잔티움 제국 | 카롤루스 대제 사후 프랑크 왕국은 서프랑크·중프랑크·____(으)로 분열되었다. | 동프랑크
12. 서유럽 봉건 사회와 비잔티움 제국 | 봉건제는 정치적으로 기사 계급 간의 주종 관계, 경제적으로 자급자족적인 ____을/를 바탕으로 운영되었다. | 장원제/장원
12. 서유럽 봉건 사회와 비잔티움 제국 | 1077년 성직자 서임권을 둘러싸고 황제 하인리히 4세가 교황에게 굴복한 사건은 ____이다. | 카노사의 굴욕
12. 서유럽 봉건 사회와 비잔티움 제국 | 성직자 서임권 분쟁은 1122년 ____ 협약으로 교황이 서임권을 차지하며 일단락되었다. | 보름스
12. 서유럽 봉건 사회와 비잔티움 제국 | 토마스 아퀴나스는 신앙과 이성의 조화를 꾀하는 ____을/를 집대성하였다. | 스콜라 철학
12. 서유럽 봉건 사회와 비잔티움 제국 | 비잔티움 제국의 전성기를 이끈 ____ 황제는 옛 로마 영토를 회복하고 법전을 편찬하였다. | 유스티니아누스
12. 서유럽 봉건 사회와 비잔티움 제국 | 비잔티움 양식의 대표 건축물로 웅장한 돔과 모자이크 벽화로 유명한 것은 ____이다. | 성 소피아 성당/성 소피아 대성당

13. 이슬람 세계의 성립과 발전 | 622년 무함마드가 메카 귀족의 탄압을 피해 메디나로 이주한 사건을 ____(이)라고 한다. | 헤지라
13. 이슬람 세계의 성립과 발전 | 이슬람교는 우상 숭배를 배격하고 유일신 ____에 대한 절대 복종을 강조하였다. | 알라
13. 이슬람 세계의 성립과 발전 | 무함마드 사후 합의로 칼리프를 선출하던 시기를 ____ 시대라고 한다. | 정통 칼리프
13. 이슬람 세계의 성립과 발전 | 무아위야가 세우고 칼리프직을 세습했으며 수도를 ____에 둔 왕조는 우마이야 왕조이다. | 다마스쿠스
13. 이슬람 세계의 성립과 발전 | 비아랍인 차별을 없애 범이슬람 제국을 지향하고 수도를 바그다드에 둔 왕조는 ____이다. | 아바스 왕조
13. 이슬람 세계의 성립과 발전 | 아바스 왕조는 당과 벌인 ____ 전투에서 승리하여 동서 교역 주도권을 장악하였다. | 탈라스
13. 이슬람 세계의 성립과 발전 | 이슬람 사회에서는 비무슬림에게 ____을/를 거두는 대신 종교의 자유를 인정하였다. | 지즈야/인두세
13. 이슬람 세계의 성립과 발전 | 이슬람 문화에서 유행한 식물·기하학 무늬의 장식을 ____ 무늬라고 한다. | 아라베스크

14. 크리스트교 세계와 이슬람 세계의 충돌 | 중앙아시아에서 활약하다 이슬람교를 받아들이고 바그다드에 입성해 술탄 칭호를 받은 세력은 ____이다. | 셀주크 튀르크
14. 크리스트교 세계와 이슬람 세계의 충돌 | 셀주크 튀르크가 아바스 왕조의 칼리프로부터 인정받은, 정치적 지배자를 뜻하는 칭호는 ____이다. | 술탄
14. 크리스트교 세계와 이슬람 세계의 충돌 | 셀주크 튀르크의 위협을 받은 ____ 제국이 로마 교황에게 도움을 요청하면서 십자군 전쟁이 시작되었다. | 비잔티움
14. 크리스트교 세계와 이슬람 세계의 충돌 | 클레르몽 공의회에서 성지 회복을 호소하여 십자군 전쟁을 촉발한 교황은 ____이다. | 우르바누스 2세
14. 크리스트교 세계와 이슬람 세계의 충돌 | 제1차 십자군은 ____을/를 점령하고 그곳에 왕국을 세웠다. | 예루살렘
14. 크리스트교 세계와 이슬람 세계의 충돌 | 본래 목적을 벗어나 콘스탄티노폴리스를 점령하고 라틴 제국을 세운 것은 제____차 십자군이다. | 4/4차/사
14. 크리스트교 세계와 이슬람 세계의 충돌 | 십자군 전쟁의 실패로 교황의 권위가 떨어지고 제후·기사가 몰락하면서 ____이/가 동요하고 왕권이 강화되었다. | 봉건제
14. 크리스트교 세계와 이슬람 세계의 충돌 | 십자군 전쟁으로 지중해 교역이 활발해지면서 ____ 도시들이 크게 성장하였다. | 이탈리아
14. 크리스트교 세계와 이슬람 세계의 충돌 | 8세기 초부터 15세기 말까지 이베리아반도의 크리스트교 국가들이 이슬람 세력을 몰아내려 한 국토 회복 운동은 ____이다. | 레콩키스타
